City Name,Brand/Store Name,No. of Outlets,Full Address,Latitude,Longitude,Pincode,Area,Timing,isMall,MallName
,,,"Plot No 2/4, Door No JJ253, Kambar Salai, Mogappair West, Chennai - 600037 (Opposite Reliance Digital)",13.084444,80.1701215,600037,,,FALSE,
,,,"1, 2, 1012, Icl Home Town, Arcot Road, Valasaravakkam, Chennai - 600087 (Valasaravakkam)",13.0528653,80.1423799,600087,,,FALSE,
,,,"STORE NO.G 58, VR MALL, JAWAHARLAL NEHRU RD, Anna Nagar West, Chennai - 600101",13.0805465,80.197132,600101,,,FALSE,
,,,"Marina Mall, Ground & First Floor No: 13/1a, Egattur Village, Thiruporur Taulk Kancheepuram, Thirup, Omr Road, Egattur, Chennai - 603103",12.8360623,80.2295172,603103,,,TRUE,
,,,,,,,,,,
,Max,18,"No 4/363, Old Mahabalipuram Road, Kandanchavadi, Chennai - 600096 (Opposite HCL, Near Saravana Bhavan)",12.9706388,80.2503826,600096,,,FALSE,
,,,"No 59/2, Velachery Main Road, Selaiyur, Chennai - 600073 (Near Police Station)",12.9228951,80.137472,600073,,,FALSE,
,,,"GST Road, Chromepet, Chennai - 600044 (Near Buhari Hotel)",12.8734833,80.0774199,600044,,,FALSE,
,,,"Max Kailash Buiding, Rajiv Gandhi Salai, Sholinganallur, Chennai - 600119",12.9207519,80.1967682,600119,,,FALSE,
,,,"No 173, Mount Poonamallee Road, Porur, Chennai - 600116 (Below Paradise Biriyani, Mugalivakkam)",13.0289028,80.1702939,600116,,,FALSE,
,,,"No 49 & 50 L, S201 A202 S298 S299 & S306, Express Avenue Mall, Whites Road, Royapettah, Chennai - 600014",13.0585092,80.2642491,600014,,,TRUE,
,,,"Phoenix Marketcity, No 142, G 40, Vealcherry Main Road, Velacheri, Chennai - 600042 (Near Gurunanak College)",12.9913026,80.2166199,600042,,,FALSE,
,,,"No 30/1624, Surapet Main Road, Ambattur, Chennai - 600053 (Vijayalakshmi Puram)",13.12302,80.149449,600053,,,FALSE,
,,,"No 152, North Usman Road, T Nagar, Chennai - 600017 (Opposite Murugan Idli Shop)",13.0453721,80.2328574,600017,,,FALSE,
,,,"2/546, East Coast Road, Neelankarai, Chennai - 600041 (Near Sea Shore St.Anthony's Church)",12.9574317,80.2572231,600041,,,FALSE,
,,,"No 179, Luz Church Road, Mylapore, Chennai - 600004 (Behind Navasakthi Vinayagar Temple)",13.0370497,80.267101,600004,,,FALSE,
,,,"No 10 & 11, City Centre, 2nd Floor, Dr Radha Krishnan Salai, Mylapore, Chennai - 600004 (Near Csi Kalyani Hospital)",13.0433676,80.2720114,600004,,,FALSE,
,,,"No 39, 1st Main Road, Jawahar Nagar, Chennai - 600082 (Opposite Tnsc Bank)",13.113203,80.2262949,600082,,,FALSE,
,,,"No 293, B R Towers, 2nd Floor, CTH Road, Avadi, Chennai - 600054 (Opposite GRT Jewellers)",13.1196622,80.0932896,600054,,,FALSE,
,,,"No 6/11, Saraswathy Tower, Ground Floor, LP Sastri Street, Redhills Road, Ambattur, Chennai - 600053 (Near Rakki Theatre)",13.1209552,80.1601361,600053,,,FALSE,
,,,"23/7, Tiruveedhiamman Koil Street, Arumbakkam, Chennai - 600106 (Temple)",13.0769502,80.210677,600106,,,FALSE,
,,,"The Marina Mall, Mahabalipuram Road, Egattur, Chennai - 603103 (Egattur Old)",12.8360379,80.2293307,603103,,,TRUE,
,,,"No 56, Narayanan Street, Pudupet, Chennai - 600002 (Pudupet Mosque Opposite)",13.0707947,80.2661097,600002,,,FALSE,
,,,,,,,,,,
,Lifestyle,6,"Plot No 213, Express Avenue Mall, 1st Floor, Shop No 49 & 50 L, Whites Road, Royapettah, Chennai - 600014 (Near LIC & Spencers)",13.0584546,80.2641844,600014,,,TRUE,
,,,"No 10 & 11, Citi Centre, Ground, 1st & 2nd Floor, Dr. Radhakrishnan Salai, Mylapore, Chennai - 600004 (Behind Kalyani Hospital)",13.0429239,80.2737717,600004,,,FALSE,
,,,"Forum Mall No 183 Ground Floor, NSK Salai, Vadapalani, Chennai - 600026 (Near Vijaya Hospital)",13.050965,80.2096056,600026,,,TRUE,
,,,"No 142, Phoenix Marketcity, 1st & 2nd Floor, Velacheri Main Road, Velacheri, Chennai - 600042",12.9905058,80.2169764,600042,,,FALSE,
,,,"V R Mall Ground First & Second Floor, Jawaharlal Nehru Road, Anna Nagar, Chennai - 600040 (Near Metro Zone & Thirumangalam Metro Station, Near Vee Care Hospital)",13.0805465,80.197132,600040,,,TRUE,
